selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
Queen in the North🐺,Fri Jan 17 19:55:44 +0000 2020,@prizziIIa Omg see why I only go to couture 😖,United States,Joint Base Pearl Harbor-Hickam,280,231,4,23538,False,41285,False,http://pbs.twimg.com/profile_images/1214673883741093890/WefvWpMw_normal.jpg,
Wade Moss 🥵,Fri Jan 17 19:55:45 +0000 2020,@SkitVibing @uhhbluez Bruv I’m here 🥺,United States,Texas,195,324,0,1277,False,736,False,http://pbs.twimg.com/profile_images/1218194079584079872/iupGPc8u_normal.jpg,
Hillary Mintz,Fri Jan 17 19:55:44 +0000 2020,Final surprise a ride in tower ladder!! https://t.co/aRqylcTvH8,United States,West Allis Fire Station 2,3651,1684,123,6274,False,14688,False,http://pbs.twimg.com/profile_images/743762490345984001/M0W004Z4_normal.jpg,
CRY FIERI,Fri Jan 17 19:55:45 +0000 2020,mom: you need to renew your passport before May. I don't know if you want to like go to Germany or somethingme: o… https://t.co/BhXg8ntDFH,United States,Highland,429,471,4,11850,False,11185,False,http://pbs.twimg.com/profile_images/1215842900208168960/btup01Dz_normal.jpg,
Coach Joe Servais,Fri Jan 17 19:55:45 +0000 2020,@jeremyhauer Oh yes!!!! The best one!,United States,Chalco,456,278,2,3004,False,1266,False,http://pbs.twimg.com/profile_images/1128999737296859136/KtsKKE1v_normal.png,
Stephanie Reinish 🌊🌊🌊💙,Fri Jan 17 19:55:45 +0000 2020,@Jaiko1975 @lee210n @Lethal_mosquito @SoLatinBarbie @AaronMoonblade @K4BoLove Thank you so much @Jaiko1975!In orde… https://t.co/E2XRvVVli8,United States,Deerfield,1361,4541,3,22987,False,10365,False,http://pbs.twimg.com/profile_images/1125282273614602240/gFYE2tsz_normal.jpg,
🄲🄷🄴🄻🅂🄴🄰,Fri Jan 17 19:55:45 +0000 2020,@XxHippoHoexX @JayBarn84278206 https://t.co/5rjRSCbJNH he’s talking w the venue trying to change anything that he c… https://t.co/HiB99YElVP,United States,Millcreek,7442,2167,9,87491,False,30152,False,http://pbs.twimg.com/profile_images/1179274496731037696/xQTNUgwx_normal.jpg,
Jackson,Fri Jan 17 19:55:45 +0000 2020,Dude must be worried.,United States,San Mateo,177,688,4,3853,False,11224,False,http://pbs.twimg.com/profile_images/3331744844/411a0308ec225bd198f964f4eb0df227_normal.jpeg,
Tiffany E. Brockington,Fri Jan 17 19:55:45 +0000 2020,Loved attending this program!!,United States,Frankfort,928,1327,8,2755,False,4560,False,http://pbs.twimg.com/profile_images/1217089262564315138/RC1hI15E_normal.jpg,
jack 💫,Fri Jan 17 19:55:45 +0000 2020,I want £20 million for Joe Bryan,United States,Kansas City,376,345,0,4231,False,8137,False,http://pbs.twimg.com/profile_images/1142154635941228544/ICILqDYu_normal.jpg,
Merocity,Fri Jan 17 19:55:45 +0000 2020,@miamijj48 Kneel on your own f**king time “Scool teacher of the year” you have that right as a American! but when i… https://t.co/EkCA5woXzB,United States,Manhattan,3095,4999,2,23346,False,22180,False,http://pbs.twimg.com/profile_images/3231585736/c2cfa7d8f4d3e0b36305505affe731e5_normal.jpeg,
