selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
Zach King,Fri Jan 17 20:06:06 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Australia,General,123,111,0,19458,False,7641,False,http://pbs.twimg.com/profile_images/1208782580759310339/-L8foqV4_normal.jpg,
(((Liz Ditz))),Fri Jan 17 20:06:06 +0000 2020,RT @aetiology: @ArcticTidalSurg @doritmi The flu shot is a killed vaccine and cannot make you ill. It does take about 2 weeks for immunity…,Australia,General,8958,9242,769,111709,False,525505,False,http://pbs.twimg.com/profile_images/884125458173804544/iQFLVlLE_normal.jpg,
"That Woman" Noely ⚡️🏐,Fri Jan 17 20:06:09 +0000 2020,@Perorationer @irenenog @AnnastaciaMP I try not to either only for work is sad sad stuff. When people whine about… https://t.co/1kHcNuw2Mt,Australia,Sunshine Coast,17709,9440,272,151625,False,496024,False,http://pbs.twimg.com/profile_images/945741987423985664/suHg8jK9_normal.jpg,
Toby’s Most Excellent Hooman 🤨☕️🎶📚⚾️🏒⚽️,Fri Jan 17 20:06:09 +0000 2020,RT @larsendarren: Having had influenza (H1N1) myself before a vaccine was available and never having been so sick ever in my life I will…,Australia,General,3761,3701,20,20037,False,12640,False,http://pbs.twimg.com/profile_images/1083188615973265408/dlOYXFUR_normal.jpg,
WGNO,Fri Jan 17 20:06:13 +0000 2020,An Alamance County woman is making it her mission to warn others to get the flu shot.​ https://t.co/c0fE72BnGQ,Australia,General,39643,662,818,677,True,84311,False,http://pbs.twimg.com/profile_images/673912104823480320/w23i26lV_normal.jpg,
(((Liz Ditz))),Fri Jan 17 20:06:13 +0000 2020,RT @ArcticTidalSurg: @aetiology @doritmi Tara how do you stop the flu in people older than 55 when the drug companies that make the flu sh…,Australia,General,8958,9242,769,111709,False,525506,False,http://pbs.twimg.com/profile_images/884125458173804544/iQFLVlLE_normal.jpg,
Steven 🇨🇴,Fri Jan 17 20:06:22 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Australia,General,145,166,0,3394,False,6470,False,http://pbs.twimg.com/profile_images/1161606647376162817/TM4ANENt_normal.jpg,
Ed-C137,Fri Jan 17 20:06:25 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Australia,General,912,554,23,9381,False,33669,False,http://pbs.twimg.com/profile_images/1159009207821242368/YGsRClLS_normal.jpg,
Cath Keay,Fri Jan 17 20:06:26 +0000 2020,RT @SWLincs_NHS: It's not too late to get the free flu vaccine. If you have a child aged 2-3 speak to your pharmacist today #HelpUsHelpYou…,Australia,General,502,1139,18,9193,False,4866,False,http://pbs.twimg.com/profile_images/877967384778354688/ArvsB2cW_normal.jpg,
Echeverry E,Fri Jan 17 20:06:27 +0000 2020,RT @ajitjohnson_n: Injection of seasonal flu vaccine into tumors generates systemic immune responses and serves as an immunotherapy for can…,Australia,General,152,243,55,9717,False,18467,False,http://pbs.twimg.com/profile_images/1202229787101663233/6JTO6Zw2_normal.jpg,
creaanahi,Fri Jan 17 20:00:17 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Indonesia,General,470,220,0,28318,False,18831,False,http://pbs.twimg.com/profile_images/1211722903445741568/jSZaw_P5_normal.jpg,
SHABITRA SARAWANAN,Fri Jan 17 20:00:19 +0000 2020,Ask him why there are hypocrites in the world.''Because it is hard to bear the happiness of others.''When are we… https://t.co/yDfFHS5qvu,Malaysia,Batu,1077,140,1,1357,False,1792,False,http://pbs.twimg.com/profile_images/1197915639823749120/9sZPbyyX_normal.jpg,
Brodrick Jackson,Fri Jan 17 20:00:19 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Indonesia,General,1279,1174,2,12808,False,11008,False,http://pbs.twimg.com/profile_images/1218087327529984000/Obc-F97M_normal.jpg,
University of Wisconsin Department of Pediatrics,Fri Jan 17 20:00:26 +0000 2020,James Conway MD (Professor Div. of Infectious Diseases) spoke with @WPR’s "The Morning Show" about the recent inc… https://t.co/s7jcfrQmJr,Indonesia,General,177,164,3,220,False,237,False,http://pbs.twimg.com/profile_images/1058369103986077698/O2PeYVQg_normal.jpg,
Ashley Brown,Fri Jan 17 20:00:30 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Indonesia,General,465,639,7,23223,False,9835,False,http://pbs.twimg.com/profile_images/1215056458930323463/wNXVEqPB_normal.jpg,
Rhosyta Putri,Fri Jan 17 20:00:40 +0000 2020,awas .. awas.. awas 😌 https://t.co/MNGt8XXZ0b,Indonesia,Menteng,324,249,0,485,False,10333,False,http://pbs.twimg.com/profile_images/1189916948127264768/qMASHA1p_normal.jpg,
alang,Fri Jan 17 20:00:42 +0000 2020,M: i know i’ve been thereM: what was she like?Meself: the only one who can handle the bad in me M: (turn ‘mesel… https://t.co/27grdwVrhF,Malaysia,Chukai,211,79,0,1563,False,4560,False,http://pbs.twimg.com/profile_images/1211735165606617089/49I6wwpa_normal.jpg,
MR. ABT,Fri Jan 17 20:00:50 +0000 2020,Am I the only one that has never gotten a flu shot and is scared of getting one ?,Indonesia,General,196,187,0,5224,False,1498,False,http://pbs.twimg.com/profile_images/1121186398936158209/aFGIrHwd_normal.jpg,
katie,Fri Jan 17 20:01:01 +0000 2020,my dad reads so much facebook lure that he thinks i’m gonna die from the flu and is forcing me to get a flu shot ughhhh,Indonesia,General,212,705,0,26270,False,4631,False,http://pbs.twimg.com/profile_images/1204465850599845888/P0Z6Z8Kn_normal.jpg,
ca,Fri Jan 17 20:01:01 +0000 2020,Not a great start,Malaysia,Kuala Lumpur,2249,577,5,18709,False,91345,False,http://pbs.twimg.com/profile_images/1218215511592292353/JZ6HNYiA_normal.jpg,
Dr Terri MD,Fri Jan 17 20:01:16 +0000 2020,If you think your baby has the flu call her provider right away. Quick treatment can help prevent serious flu comp… https://t.co/RYWU1v2GB0,NewZealand,General,1266,1338,35,3087,False,5237,False,http://pbs.twimg.com/profile_images/862440753099710464/bMi2lwHx_normal.jpg,
YOU KICKED MY BALLS,Fri Jan 17 20:01:17 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,NewZealand,General,1107,331,33,8835,False,106155,False,http://pbs.twimg.com/profile_images/1135804636181422080/p_WxXEM1_normal.jpg,
Blair Morgan,Fri Jan 17 20:01:23 +0000 2020,Happy Birthday to @MickTaylorInfo #stonesmachII @denajag @cheeseshoptom https://t.co/9qiBEc9e0V,New Zealand,Christchurch City,103,1023,1,2431,False,1016,False,http://pbs.twimg.com/profile_images/857496898315272192/rFHP5-gU_normal.jpg,
Jeffrey Hann,Fri Jan 17 20:01:25 +0000 2020,These rejects have no clue about anything... hahahaha... #vaccines #vaccinations #MMR #measles #InformedConsent… https://t.co/DfwI1XhJjs,NewZealand,General,216,362,1,799,False,1433,False,http://pbs.twimg.com/profile_images/1153675838941880320/U_8l8UPa_normal.jpg,
Aabroo,Fri Jan 17 20:01:28 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,NewZealand,General,257,213,0,3885,False,1883,False,http://pbs.twimg.com/profile_images/1173375810767642625/zTej0qT0_normal.jpg,
Vic Petilla,Fri Jan 17 20:01:40 +0000 2020,Saturday morning #Breakfast @ The Terrace Cafe https://t.co/uzZuEiNNzN,New Zealand,Tauranga City,46,80,0,941,False,1224,False,http://pbs.twimg.com/profile_images/1173008496750559234/8cn6pbSZ_normal.jpg,
Renton,Fri Jan 17 20:01:43 +0000 2020,RT @carmindabrendel: 11-year-old boy dies of flu despite getting vaccine https://t.co/edpKK5HK9o,NewZealand,General,643,277,1,702,False,7494,False,http://pbs.twimg.com/profile_images/344513261573726815/67cfe63a4d72aab578ccbf816ef07c95_normal.jpeg,
LoganHandsomePants,Fri Jan 17 20:01:48 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,NewZealand,General,457,334,3,4902,False,24403,False,http://pbs.twimg.com/profile_images/1197901199443447808/6tDLQ1yl_normal.jpg,
Stacey Gray,Fri Jan 17 20:01:48 +0000 2020,When you can’t even sit down for a coffee for 2min without 2 kids demanding to be attached to you https://t.co/ALTqdqfLUr,New Zealand,Western Bay of Plenty District,173,307,0,67695,False,12000,False,http://pbs.twimg.com/profile_images/1132229281705185281/Aht12Bpt_normal.jpg,
Juliet Revell,Fri Jan 17 20:02:00 +0000 2020,Ready to roll @HuiWip Follow the account and the hashtag! @duckydo @toni_westcott @Jordan_priestle @michaelteacher… https://t.co/6AJzl7z2BP,New Zealand,Napier City,3564,3637,170,9656,False,10813,False,http://pbs.twimg.com/profile_images/1384718963/JMR_Small2_normal.jpg,
motherfuckin princess,Fri Jan 17 20:02:17 +0000 2020,@javiierbarcenas i’ll take u to chuckee shees if you get your flu shots without crying,PapuaNewGuinea,General,1357,341,11,6495,False,18417,False,http://pbs.twimg.com/profile_images/1215717850377142278/VjO-iTQo_normal.jpg,
hot sauce in my bag swag,Fri Jan 17 20:02:20 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,PapuaNewGuinea,General,173,196,0,25015,False,6496,False,http://pbs.twimg.com/profile_images/1188338608824041472/bfomsFMP_normal.jpg,
Titty enthusiast,Fri Jan 17 20:02:30 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,PapuaNewGuinea,General,18,40,0,945,False,144,False,http://pbs.twimg.com/profile_images/1214420344699682816/oaWkdTMj_normal.jpg,
Hella Rude,Fri Jan 17 20:02:32 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,PapuaNewGuinea,General,2,41,0,751,False,54,False,http://pbs.twimg.com/profile_images/1217336816669356033/974Q2-JE_normal.jpg,
gummie henrie,Fri Jan 17 20:02:34 +0000 2020,I told someone a flu vax fact and now my whole class thinks I’m an anti-vaxxer. nooo!! sure wish they made a shot t… https://t.co/xkSJyRdIiE,PapuaNewGuinea,General,869,509,6,40833,False,13541,False,http://pbs.twimg.com/profile_images/1188486424363970560/w-CH3z85_normal.jpg,
Márcio M. Silva,Fri Jan 17 20:02:38 +0000 2020,How the flu vaccine is made https://t.co/DYCTYiEls4 https://t.co/NrL4SfGFyc,PapuaNewGuinea,General,1448,2632,740,3186,False,1046995,False,http://pbs.twimg.com/profile_images/470392656/0869_normal.jpg,
Queridos Mexicanos (My Dearest Mexicans),Fri Jan 17 20:02:38 +0000 2020,@NCAIPRC @MALDEF @AISES @sacnas @NACCSorg 3/4 They say they want to help but @ruha9 and others predicted this hypoc… https://t.co/ClBA8RknCz,PapuaNewGuinea,General,309,424,1,10073,False,13825,False,http://pbs.twimg.com/profile_images/1033777809511002112/-PxlD-QJ_normal.jpg,
B-Diz,Fri Jan 17 20:02:40 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,PapuaNewGuinea,General,351,515,0,3870,False,9188,False,http://pbs.twimg.com/profile_images/1101271181192237056/nvEk5yYr_normal.jpg,
Rozzie,Fri Jan 17 20:02:51 +0000 2020,@TokkennT @Purplegarter1 @BernieSanders I used the word "free" once!Read my initial tweet- we pay 2% of income for… https://t.co/nqksUeSuh4,PapuaNewGuinea,General,2135,3960,15,17554,False,19012,False,http://pbs.twimg.com/profile_images/1118477561556717568/frA0TpKz_normal.png,
artfantasystudio.com,Fri Jan 17 20:03:06 +0000 2020,I hope this helps? https://t.co/nqa6hLzi7n,PapuaNewGuinea,General,2955,4363,92,19556,False,106621,False,http://pbs.twimg.com/profile_images/1145093547017801729/xEWVzYJR_normal.png,
